"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/01/2022","AQS","420010001","1","13.7","ppb","12","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/02/2022","AQS","420010001","1","9.4","ppb","8","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/03/2022","AQS","420010001","1","11.3","ppb","10","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/04/2022","AQS","420010001","1","4.3","ppb","4","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/05/2022","AQS","420010001","1","1.2","ppb","1","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/06/2022","AQS","420010001","1","6.2","ppb","6","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/07/2022","AQS","420010001","1","5.2","ppb","5","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/08/2022","AQS","420010001","1","5.4","ppb","5","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/09/2022","AQS","420010001","1","8.9","ppb","8","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/10/2022","AQS","420010001","1","4.8","ppb","4","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
