Year,State,County,County Code,State Code,RUCC,FIPS,Pollutant concentration (PPM),State Name Code,County Full Name,Population,Pollutant,Max AQI
2020,Texas,Bexar,029,48,1.0,48029,0.44337016574585636,TX,Bexar County,2015501,CO,158.0
2020,Texas,Dallas,113,48,1.0,48113,0.28114754098360656,TX,Dallas County,2610112,CO,135.0
2020,Texas,El Paso,141,48,2.0,48141,0.3546184738955823,TX,El Paso County,866606,CO,192.0
2020,Texas,Harris,201,48,1.0,48201,0.40219378427787933,TX,Harris County,4734792,CO,179.0
2020,Texas,Tarrant,439,48,1.0,48439,0.42868852459016393,TX,Tarrant County,2115840,CO,159.0
2020,Texas,Travis,453,48,1.0,48453,0.5854794520547945,TX,Travis County,1296613,CO,153.0
2021,California,Alameda,001,06,1.0,06001,0.5091329479768786,CA,Alameda County,1644047,CO,151.0
2021,California,Butte,007,06,3.0,06007,0.31516034985422736,CA,Butte County,206336,CO,233.0
2021,California,Contra Costa,013,06,1.0,06013,0.4312730627306273,CA,Contra Costa County,1163941,CO,150.0
2021,California,Fresno,019,06,1.0,06019,0.5073818897637795,CA,Fresno County,1013103,CO,278.0
2021,California,Humboldt,023,06,5.0,06023,0.2729166666666667,CA,Humboldt County,134897,CO,60.0
2021,California,Imperial,025,06,3.0,06025,0.5178571428571429,CA,Imperial County,179138,CO,442.0
2021,California,Kern,029,06,2.0,06029,0.40164383561643835,CA,Kern County,912709,CO,316.0
2021,California,Los Angeles,037,06,1.0,06037,0.4879032258064516,CA,Los Angeles County,9809462,CO,281.0
2021,New York,Erie,029,36,1.0,36029,0.287815750371471,NY,Erie County,952912,CO,101.0
2021,New York,Monroe,055,36,1.0,36055,0.2905292479108635,NY,Monroe County,755813,CO,100.0
2021,Pennsylvania,Adams,001,42,3.0,42001,0.142152466367713,PA,Adams County,105686,CO,129.0
2021,Pennsylvania,Allegheny,003,42,1.0,42003,0.5787114845938375,PA,Allegheny County,1245220,CO,153.0
2021,Pennsylvania,Cambria,021,42,3.0,42021,0.24362606232294617,PA,Cambria County,132237,CO,130.0
2021,Pennsylvania,Lackawanna,069,42,2.0,42069,0.24682080924855493,PA,Lackawanna County,216043,CO,137.0
2021,Pennsylvania,Philadelphia,101,42,1.0,42101,0.5001838235294118,PA,Philadelphia County,1589623,CO,152.0
2021,Texas,Bexar,029,48,1.0,48029,0.20482954545454543,TX,Bexar County,2030981,CO,147.0
2021,Texas,Dallas,113,48,1.0,48113,0.2863372093023256,TX,Dallas County,2588235,CO,174.0
2021,Texas,El Paso,141,48,2.0,48141,0.33508946322067595,TX,El Paso County,867499,CO,150.0
2021,Texas,Harris,201,48,1.0,48201,0.46522148916116873,TX,Harris County,4735517,CO,179.0
2021,Texas,Tarrant,439,48,1.0,48439,0.4889196675900277,TX,Tarrant County,2129695,CO,209.0
2021,Texas,Travis,453,48,1.0,48453,0.6019178082191781,TX,Travis County,1308868,CO,101.0
2022,California,Alameda,001,06,1.0,06001,0.49445983379501385,CA,Alameda County,1628259,CO,122.0
2022,California,Butte,007,06,3.0,06007,0.32900552486187845,CA,Butte County,207369,CO,119.0
2022,California,Contra Costa,013,06,1.0,06013,0.39666666666666667,CA,Contra Costa County,1157019,CO,129.0
2022,California,Fresno,019,06,1.0,06019,0.5055961070559611,CA,Fresno County,1015359,CO,159.0
2022,California,Humboldt,023,06,5.0,06023,0.24575342465753425,CA,Humboldt County,134944,CO,70.0
2022,California,Imperial,025,06,3.0,06025,0.5532163742690058,CA,Imperial County,178940,CO,762.0
2022,California,Kern,029,06,2.0,06029,0.35619834710743803,CA,Kern County,916751,CO,289.0
2022,California,Los Angeles,037,06,1.0,06037,0.47279932069063124,CA,Los Angeles County,9719765,CO,209.0
2022,New York,Erie,029,36,1.0,36029,0.2842475386779184,NY,Erie County,948423,CO,150.0
2022,New York,Monroe,055,36,1.0,36055,0.28144475920679884,NY,Monroe County,750887,CO,126.0
2022,Pennsylvania,Adams,001,42,3.0,42001,0.15125348189415044,PA,Adams County,105959,CO,97.0
2022,Pennsylvania,Allegheny,003,42,1.0,42003,0.529537037037037,PA,Allegheny County,1232605,CO,151.0
2022,Pennsylvania,Cambria,021,42,3.0,42021,0.4227146814404432,PA,Cambria County,131429,CO,119.0
2022,Pennsylvania,Lackawanna,069,42,2.0,42069,0.3961325966850829,PA,Lackawanna County,215750,CO,71.0
2022,Pennsylvania,Philadelphia,101,42,1.0,42101,0.4809833024118738,PA,Philadelphia County,1566836,CO,113.0
2022,Texas,Bexar,029,48,1.0,48029,0.3178082191780822,TX,Bexar County,2060191,CO,194.0
2022,Texas,Dallas,113,48,1.0,48113,0.2733516483516483,TX,Dallas County,2601993,CO,148.0
2022,Texas,El Paso,141,48,2.0,48141,0.3200589970501475,TX,El Paso County,867239,CO,163.0
2022,Texas,Harris,201,48,1.0,48201,0.4622868605817453,TX,Harris County,4781337,CO,179.0
2022,Texas,Tarrant,439,48,1.0,48439,0.4420329670329671,TX,Tarrant County,2155646,CO,172.0
2022,Texas,Travis,453,48,1.0,48453,0.5632302405498282,TX,Travis County,1327550,CO,129.0
2023,California,Alameda,001,06,1.0,06001,0.5192307692307693,CA,Alameda County,1622188,CO,104.0
2023,California,Butte,007,06,3.0,06007,0.31242424242424244,CA,Butte County,207172,CO,87.0
