State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,State Code,County Code,FIPS,State Name,County Name,RUCC,State Name Code,County Full Name,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023
California,Los Angeles,2019,365,66,213,57,28,1,0,201,136,71,0,36,197,124,8,06,037,06037,California,Los Angeles,1.0,CA,Los Angeles County,10061533,10011602,9992813,9809462,9719765,9663345
California,Madera,2019,365,189,163,13,0,0,0,140,84,50,0,0,259,67,39,06,039,06039,California,Madera,1.0,CA,Madera County,156373,156717,156345,158966,160329,162858
New York,Erie,2019,365,310,55,0,0,0,0,93,54,38,0,27,221,117,0,36,029,36029,New York,Erie,1.0,NY,Erie County,919941,918813,952342,952912,948423,946147
New York,Monroe,2019,365,321,44,0,0,0,0,90,52,36,0,3,235,127,0,36,055,36055,New York,Monroe,1.0,NY,Monroe County,744239,742605,757551,755813,750887,748482
Pennsylvania,Adams,2019,365,288,77,0,0,0,0,85,59,42,0,0,266,99,0,42,001,42001,Pennsylvania,Adams,3.0,PA,Adams County,103035,102776,103798,105686,105959,106748
Pennsylvania,Allegheny,2019,365,146,208,7,4,0,0,161,79,54,0,0,103,262,0,42,003,42003,Pennsylvania,Allegheny,1.0,PA,Allegheny County,1217508,1215716,1249565,1245220,1232605,1224825
Pennsylvania,Cambria,2019,365,296,69,0,0,0,0,88,57,39,2,4,189,170,0,42,021,42021,Pennsylvania,Cambria,3.0,PA,Cambria County,131478,130107,133211,132237,131429,130668
Pennsylvania,Lackawanna,2019,365,333,32,0,0,0,0,80,49,37,0,22,290,53,0,42,069,42069,Pennsylvania,Lackawanna,2.0,PA,Lackawanna County,210301,209808,215539,216043,215750,216123
Pennsylvania,Philadelphia,2019,365,244,115,6,0,0,0,140,71,44,0,30,206,129,0,42,101,42101,Pennsylvania,Philadelphia,1.0,PA,Philadelphia County,1586422,1584439,1600684,1589623,1566836,1550542
Pennsylvania,York,2019,365,299,66,0,0,0,0,93,56,41,0,22,232,111,0,42,133,42133,Pennsylvania,York,2.0,PA,York County,448417,449341,456720,459183,461049,464640
Texas,Bexar,2019,365,196,163,5,1,0,0,169,71,49,0,3,161,200,1,48,029,48029,Texas,Bexar,1.0,TX,Bexar County,1981061,2002445,2015501,2030981,2060191,2087679
Texas,Dallas,2019,365,227,132,6,0,0,0,143,72,45,0,20,199,146,0,48,113,48113,Texas,Dallas,1.0,TX,Dallas County,2629764,2635603,2610112,2588235,2601993,2606358
Texas,El Paso,2019,365,147,205,11,2,0,0,157,84,53,0,21,204,137,3,48,141,48141,Texas,El Paso,2.0,TX,El Paso County,835590,837501,866606,867499,867239,869880
Texas,Harris,2019,365,180,158,22,4,1,0,202,93,51,0,22,155,185,3,48,201,48201,Texas,Harris,1.0,TX,Harris County,4676913,4709243,4734792,4735517,4781337,4835125
Texas,Harrison,2019,358,305,53,0,0,0,0,90,53,38,0,0,210,148,0,48,203,48203,Texas,Harrison,2.0,TX,Harrison County,66693,66484,68801,69527,70038,70895
Texas,Jefferson,2019,365,257,102,6,0,0,0,150,64,43,0,0,213,152,0,48,245,48245,Texas,Jefferson,2.0,TX,Jefferson County,252655,251315,256133,253727,251601,251496
Texas,Tarrant,2019,365,234,117,14,0,0,0,147,74,44,0,16,216,133,0,48,439,48439,Texas,Tarrant,1.0,TX,Tarrant County,2080998,2101282,2115840,2129695,2155646,2182947
Texas,Travis,2019,365,249,114,2,0,0,0,115,63,44,0,7,178,180,0,48,453,48453,Texas,Travis,1.0,TX,Travis County,1246693,1273567,1296613,1308868,1327550,1334961
California,Alameda,2020,366,236,110,8,11,1,0,218,79,43,0,13,155,198,0,06,001,06001,California,Alameda,1.0,CA,Alameda County,1666596,1668412,1680466,1644047,1628259,1622188
California,Butte,2020,366,183,144,18,18,2,1,379,110,51,0,0,195,164,7,06,007,06007,California,Butte,3.0,CA,Butte County,230330,218726,210151,206336,207369,207172
California,Contra Costa,2020,366,258,90,7,11,0,0,197,72,41,0,5,188,173,0,06,013,06013,California,Contra Costa,1.0,CA,Contra Costa County,1150840,1152883,1166069,1163941,1157019,1155025
California,Fresno,2020,366,94,173,59,34,6,0,298,153,74,0,3,168,180,15,06,019,06019,California,Fresno,1.0,CA,Fresno County,991298,997847,1009552,1013103,1015359,1017162
California,Humboldt,2020,366,333,30,3,0,0,0,109,44,29,0,0,236,68,62,06,023,06023,California,Humboldt,5.0,CA,Humboldt County,136502,135839,136262,134897,134944,133985
California,Imperial,2020,366,119,219,26,2,0,0,166,97,58,0,2,181,73,110,06,025,06025,California,Imperial,3.0,CA,Imperial County,181062,180439,179612,179138,178940,179057
California,Kern,2020,366,78,158,98,30,2,0,267,140,81,0,0,206,143,17,06,029,06029,California,Kern,2.0,CA,Kern County,893618,898898,905910,912709,916751,913820
California,Los Angeles,2020,366,60,169,77,44,16,0,235,165,83,0,23,208,130,5,06,037,06037,California,Los Angeles,1.0,CA,Los Angeles County,10061533,10011602,9992813,9809462,9719765,9663345
California,Madera,2020,366,137,176,34,17,2,0,250,113,61,0,0,192,149,25,06,039,06039,California,Madera,1.0,CA,Madera County,156373,156717,156345,158966,160329,162858
New York,Erie,2020,366,317,47,0,2,0,0,155,52,37,0,10,224,132,0,36,029,36029,New York,Erie,1.0,NY,Erie County,919941,918813,952342,952912,948423,946147
New York,Monroe,2020,366,323,43,0,0,0,0,80,52,36,0,0,245,121,0,36,055,36055,New York,Monroe,1.0,NY,Monroe County,744239,742605,757551,755813,750887,748482
Pennsylvania,Adams,2020,366,320,46,0,0,0,0,86,54,40,0,0,282,84,0,42,001,42001,Pennsylvania,Adams,3.0,PA,Adams County,103035,102776,103798,105686,105959,106748
Pennsylvania,Allegheny,2020,366,218,138,10,0,0,0,128,75,47,0,0,156,208,2,42,003,42003,Pennsylvania,Allegheny,1.0,PA,Allegheny County,1217508,1215716,1249565,1245220,1232605,1224825
Pennsylvania,Cambria,2020,366,309,57,0,0,0,0,89,56,38,1,1,183,181,0,42,021,42021,Pennsylvania,Cambria,3.0,PA,Cambria County,131478,130107,133211,132237,131429,130668
Pennsylvania,Lackawanna,2020,366,333,33,0,0,0,0,81,50,38,0,29,248,89,0,42,069,42069,Pennsylvania,Lackawanna,2.0,PA,Lackawanna County,210301,209808,215539,216043,215750,216123
Pennsylvania,Philadelphia,2020,366,281,80,5,0,0,0,119,59,41,0,42,174,150,0,42,101,42101,Pennsylvania,Philadelphia,1.0,PA,Philadelphia County,1586422,1584439,1600684,1589623,1566836,1550542
Pennsylvania,York,2020,366,301,65,0,0,0,0,97,57,40,0,15,195,156,0,42,133,42133,Pennsylvania,York,2.0,PA,York County,448417,449341,456720,459183,461049,464640
Texas,Bexar,2020,366,198,158,9,1,0,0,158,77,49,0,1,179,185,1,48,029,48029,Texas,Bexar,1.0,TX,Bexar County,1981061,2002445,2015501,2030981,2060191,2087679
Texas,Dallas,2020,366,272,88,6,0,0,0,135,67,42,0,29,216,120,1,48,113,48113,Texas,Dallas,1.0,TX,Dallas County,2629764,2635603,2610112,2588235,2601993,2606358
Texas,El Paso,2020,366,143,204,17,2,0,0,192,89,55,0,21,194,120,31,48,141,48141,Texas,El Paso,2.0,TX,El Paso County,835590,837501,866606,867499,867239,869880
Texas,Harris,2020,366,184,165,15,2,0,0,179,80,50,0,26,142,197,1,48,201,48201,Texas,Harris,1.0,TX,Harris County,4676913,4709243,4734792,4735517,4781337,4835125
Texas,Harrison,2020,363,322,41,0,0,0,0,100,51,35,0,0,206,157,0,48,203,48203,Texas,Harrison,2.0,TX,Harrison County,66693,66484,68801,69527,70038,70895
Texas,Jefferson,2020,363,269,92,2,0,0,0,122,62,40,0,0,225,138,0,48,245,48245,Texas,Jefferson,2.0,TX,Jefferson County,252655,251315,256133,253727,251601,251496
Texas,Tarrant,2020,366,238,112,13,3,0,0,159,77,45,0,17,191,158,0,48,439,48439,Texas,Tarrant,1.0,TX,Tarrant County,2080998,2101282,2115840,2129695,2155646,2182947
Texas,Travis,2020,366,260,104,1,1,0,0,153,63,44,0,6,162,197,1,48,453,48453,Texas,Travis,1.0,TX,Travis County,1246693,1273567,1296613,1308868,1327550,1334961
California,Alameda,2021,365,223,132,9,1,0,0,151,68,45,0,8,177,180,0,06,001,06001,California,Alameda,1.0,CA,Alameda County,1666596,1668412,1680466,1644047,1628259,1622188
