Year,State,County,County Code,State Code,RUCC,FIPS,Pollutant Concentration,Pollutant
2022,Texas,El Paso,141,48,2,48141,0.320058997,CO
2022,Texas,Harris,201,48,1,48201,0.462286861,CO
2022,Texas,Tarrant,439,48,1,48439,0.442032967,CO
2022,Texas,Travis,453,48,1,48453,0.563230241,CO
2023,California,Alameda,1,6,1,6001,0.519230769,CO
2023,California,Butte,7,6,3,6007,0.312424242,CO
2023,California,Contra Costa,13,6,1,6013,0.344949027,CO
2023,California,Fresno,19,6,1,6019,0.45,CO
2023,California,Humboldt,23,6,5,6023,0.314736842,CO
2023,California,Imperial,25,6,3,6025,0.421126761,CO
2023,California,Kern,29,6,2,6029,0.328690808,CO
2023,California,Los Angeles,37,6,1,6037,0.441769352,CO
2023,New York,Erie,29,36,1,36029,0.314697802,CO
2023,New York,Monroe,55,36,1,36055,0.313210445,CO
2023,Pennsylvania,Adams,1,42,3,42001,0.201120448,CO
2023,Pennsylvania,Allegheny,3,42,1,42003,0.631872146,CO
2023,Pennsylvania,Cambria,21,42,3,42021,0.341597796,CO
2023,Pennsylvania,Lackawanna,69,42,2,42069,0.337808219,CO
2023,Pennsylvania,Philadelphia,101,42,1,42101,0.502012809,CO
2023,Texas,Bexar,29,48,1,48029,0.35369863,CO
2023,Texas,Dallas,113,48,1,48113,0.302465753,CO
2023,Texas,El Paso,141,48,2,48141,0.398640483,CO
2023,Texas,Harris,201,48,1,48201,0.446233522,CO
2023,Texas,Tarrant,439,48,1,48439,0.473714286,CO
2023,Texas,Travis,453,48,1,48453,0.59941349,CO
2018,California,Alameda,1,6,1,6001,22.76989918,NO2
2018,California,Butte,7,6,3,6007,15.1767313,NO2
2018,California,Contra Costa,13,6,1,6013,13.16342525,NO2
2018,California,Fresno,19,6,1,6019,21.86646226,NO2
2018,California,Humboldt,23,6,5,6023,4.431055901,NO2
2018,California,Imperial,25,6,3,6025,23.41910331,NO2
2018,California,Kern,29,6,2,6029,23.06761696,NO2
2018,California,Los Angeles,37,6,1,6037,27.091403,NO2
2018,California,Madera,39,6,1,6039,12.64122563,NO2
2018,Pennsylvania,Adams,1,42,3,42001,2.9390681,NO2
2018,Pennsylvania,Allegheny,3,42,1,42003,16.60308123,NO2
2018,Pennsylvania,Cambria,21,42,3,42021,13.12391931,NO2
2018,Pennsylvania,Lackawanna,69,42,2,42069,20.45706371,NO2
2018,Pennsylvania,Philadelphia,101,42,1,42101,20.02215569,NO2
2018,Pennsylvania,York,133,42,2,42133,16.50194553,NO2
2018,Texas,Bexar,29,48,1,48029,13.01854437,NO2
2018,Texas,Dallas,113,48,1,48113,17.34577617,NO2
2018,Texas,El Paso,141,48,2,48141,31.23565324,NO2
2018,Texas,Harris,201,48,1,48201,18.54307897,NO2
2018,Texas,Harrison,203,48,2,48203,5.358379888,NO2
2018,Texas,Jefferson,245,48,2,48245,9.946691519,NO2
2018,Texas,Tarrant,439,48,1,48439,17.64032258,NO2
2018,Texas,Travis,453,48,1,48453,17.1461326,NO2
2019,California,Alameda,1,6,1,6001,21.40172253,NO2
2019,California,Butte,7,6,3,6007,14.42836676,NO2
2019,California,Contra Costa,13,6,1,6013,12.65070323,NO2
2019,California,Fresno,19,6,1,6019,20.02256944,NO2
2019,California,Humboldt,23,6,5,6023,5.724,NO2
2019,California,Imperial,25,6,3,6025,20.95904936,NO2
2019,California,Kern,29,6,2,6029,23.87984901,NO2
2019,California,Los Angeles,37,6,1,6037,26.12943548,NO2
2019,California,Madera,39,6,1,6039,12.47668539,NO2
2019,Pennsylvania,Adams,1,42,3,42001,3.807073955,NO2
2019,Pennsylvania,Allegheny,3,42,1,42003,16.47354571,NO2
2019,Pennsylvania,Cambria,21,42,3,42021,14.50617284,NO2
2019,Pennsylvania,Lackawanna,69,42,2,42069,22.71387283,NO2
2019,Pennsylvania,Philadelphia,101,42,1,42101,24.06642512,NO2
2019,Pennsylvania,York,133,42,2,42133,18.91111111,NO2
2019,Texas,Bexar,29,48,1,48029,13.92336103,NO2
2019,Texas,Dallas,113,48,1,48113,17.41407915,NO2
2019,Texas,El Paso,141,48,2,48141,26.79536354,NO2
2019,Texas,Harris,201,48,1,48201,19.42024096,NO2
2019,Texas,Harrison,203,48,2,48203,6.570903955,NO2
2019,Texas,Jefferson,245,48,2,48245,10.22969052,NO2
2019,Texas,Tarrant,439,48,1,48439,17.99112964,NO2
2019,Texas,Travis,453,48,1,48453,16.31578947,NO2
2020,California,Alameda,1,6,1,6001,20.98005527,NO2
2020,California,Butte,7,6,3,6007,12.34611111,NO2
2020,California,Contra Costa,13,6,1,6013,12.39246862,NO2
2020,California,Fresno,19,6,1,6019,20.78995716,NO2
2020,California,Humboldt,23,6,5,6023,5.567058824,NO2
2020,California,Imperial,25,6,3,6025,21.48444767,NO2
2020,California,Kern,29,6,2,6029,21.81998617,NO2
2020,California,Los Angeles,37,6,1,6037,25.82711686,NO2
2020,California,Madera,39,6,1,6039,12.86923077,NO2
2020,New York,Erie,29,36,1,36029,17.05400641,NO2
2020,New York,Monroe,55,36,1,36055,12.57854785,NO2
2020,Pennsylvania,Adams,1,42,3,42001,3.776504298,NO2
2020,Pennsylvania,Allegheny,3,42,1,42003,15.45695652,NO2
2020,Pennsylvania,Cambria,21,42,3,42021,13.15076923,NO2
2020,Pennsylvania,Lackawanna,69,42,2,42069,23.08333333,NO2
2020,Pennsylvania,Philadelphia,101,42,1,42101,22.83704735,NO2
2020,Pennsylvania,York,133,42,2,42133,17.93659942,NO2
2020,Texas,Bexar,29,48,1,48029,11.1482684,NO2
2020,Texas,Dallas,113,48,1,48113,16.21256467,NO2
2020,Texas,El Paso,141,48,2,48141,30.30030457,NO2
2020,Texas,Harris,201,48,1,48201,17.86114761,NO2
2020,Texas,Harrison,203,48,2,48203,4.620612813,NO2
2020,Texas,Jefferson,245,48,2,48245,9.555062681,NO2
2020,Texas,Tarrant,439,48,1,48439,16.19875419,NO2
2020,Texas,Travis,453,48,1,48453,20.46174636,NO2
2021,California,Alameda,1,6,1,6001,18.34339347,NO2
2021,California,Butte,7,6,3,6007,10.41282051,NO2
2021,California,Contra Costa,13,6,1,6013,10.99403409,NO2
2021,California,Fresno,19,6,1,6019,19.45326493,NO2
2021,California,Humboldt,23,6,5,6023,4.506134969,NO2
2021,California,Imperial,25,6,3,6025,20.26813656,NO2
2021,California,Kern,29,6,2,6029,24.02569767,NO2
2021,California,Los Angeles,37,6,1,6037,25.72929167,NO2
2021,California,Madera,39,6,1,6039,11.91675978,NO2
2021,Pennsylvania,Adams,1,42,3,42001,4.094462541,NO2
2021,Pennsylvania,Allegheny,3,42,1,42003,15.85007153,NO2
2021,Pennsylvania,Cambria,21,42,3,42021,13.1875,NO2
2021,Pennsylvania,Lackawanna,69,42,2,42069,24.79710145,NO2
2021,Pennsylvania,Philadelphia,101,42,1,42101,24.00307549,NO2
2021,Pennsylvania,York,133,42,2,42133,19.30952381,NO2
2021,Texas,Bexar,29,48,1,48029,10.79418605,NO2
2021,Texas,Dallas,113,48,1,48113,17.87945319,NO2
2021,Texas,El Paso,141,48,2,48141,30.56474279,NO2
2021,Texas,Harris,201,48,1,48201,18.6396183,NO2
2021,Texas,Harrison,203,48,2,48203,5.902535211,NO2
2021,Texas,Jefferson,245,48,2,48245,9.715456674,NO2
2021,Texas,Tarrant,439,48,1,48439,17.81577165,NO2
2021,Texas,Travis,453,48,1,48453,16.23140028,NO2
2022,California,Alameda,1,6,1,6001,19.50789766,NO2
2022,California,Butte,7,6,3,6007,11.768,NO2
2022,California,Contra Costa,13,6,1,6013,12.34302158,NO2
2022,California,Fresno,19,6,1,6019,19.95963086,NO2
2022,California,Humboldt,23,6,5,6023,5.170030581,NO2
2022,California,Imperial,25,6,3,6025,21.4946299,NO2
2022,California,Kern,29,6,2,6029,24.12186459,NO2
2022,California,Los Angeles,37,6,1,6037,25.8708685,NO2
2022,California,Madera,39,6,1,6039,12.46194444,NO2
2022,Pennsylvania,Adams,1,42,3,42001,5.046067416,NO2
2022,Pennsylvania,Allegheny,3,42,1,42003,15.15803167,NO2
2022,Pennsylvania,Cambria,21,42,3,42021,13.65960452,NO2
2022,Pennsylvania,Lackawanna,69,42,2,42069,25.21581921,NO2
2022,Pennsylvania,Philadelphia,101,42,1,42101,24.32075472,NO2
2022,Pennsylvania,York,133,42,2,42133,19.30819209,NO2
2022,Texas,Bexar,29,48,1,48029,11.61350507,NO2
2022,Texas,Dallas,113,48,1,48113,18.67133443,NO2
2022,Texas,El Paso,141,48,2,48141,29.80936556,NO2
2022,Texas,Harris,201,48,1,48201,19.77145318,NO2
2022,Texas,Harrison,203,48,2,48203,6.857594937,NO2
2022,Texas,Jefferson,245,48,2,48245,11.14305556,NO2
2022,Texas,Tarrant,439,48,1,48439,18.52365591,NO2
2022,Texas,Travis,453,48,1,48453,16.47020906,NO2
2023,California,Alameda,1,6,1,6001,17.00995219,NO2
2023,California,Butte,7,6,3,6007,11.65440729,NO2
2023,California,Contra Costa,13,6,1,6013,10.25640288,NO2
2023,California,Fresno,19,6,1,6019,17.91797806,NO2
2023,California,Humboldt,23,6,5,6023,4.52228739,NO2
2023,California,Imperial,25,6,3,6025,20.24052925,NO2
2023,California,Kern,29,6,2,6029,21.41676914,NO2
2023,California,Los Angeles,37,6,1,6037,22.78451537,NO2
2023,California,Madera,39,6,1,6039,10.91058496,NO2
2023,Pennsylvania,Adams,1,42,3,42001,4.461690141,NO2
2023,Pennsylvania,Allegheny,3,42,1,42003,15.87308756,NO2
2023,Pennsylvania,Cambria,21,42,3,42021,12.73033708,NO2
2023,Pennsylvania,Lackawanna,69,42,2,42069,24.37619048,NO2
2023,Pennsylvania,Philadelphia,101,42,1,42101,24.57956481,NO2
2023,Pennsylvania,York,133,42,2,42133,19.51964809,NO2
2023,Texas,Bexar,29,48,1,48029,11.85927835,NO2
2023,Texas,Dallas,113,48,1,48113,18.30628059,NO2
2023,Texas,El Paso,141,48,2,48141,33.21738437,NO2
2023,Texas,Harris,201,48,1,48201,19.87638768,NO2
2023,Texas,Harrison,203,48,2,48203,6.48757764,NO2
2023,Texas,Jefferson,245,48,2,48245,11.35324028,NO2
2023,Texas,Tarrant,439,48,1,48439,18.78756027,NO2
2023,Texas,Travis,453,48,1,48453,17.71965517,NO2
2018,California,Alameda,1,6,1,6001,12.91303502,PM2.5
2018,California,Butte,7,6,3,6007,14.48892832,PM2.5
2018,California,Contra Costa,13,6,1,6013,13.12025496,PM2.5
2018,California,Fresno,19,6,1,6019,13.15769774,PM2.5
2018,California,Humboldt,23,6,5,6023,7.590645161,PM2.5
2018,California,Imperial,25,6,3,6025,12.10833333,PM2.5
2018,California,Kern,29,6,2,6029,11.64371401,PM2.5
2018,California,Los Angeles,37,6,1,6037,12.26665268,PM2.5
2018,California,Madera,39,6,1,6039,14.11604278,PM2.5
2018,Pennsylvania,Adams,1,42,3,42001,8.035353535,PM2.5
2018,Pennsylvania,Allegheny,3,42,1,42003,10.23276716,PM2.5
2018,Pennsylvania,Cambria,21,42,3,42021,8.441040462,PM2.5
2018,Pennsylvania,Lackawanna,69,42,2,42069,8.286842105,PM2.5
2018,Pennsylvania,Philadelphia,101,42,1,42101,8.817489712,PM2.5
2018,Pennsylvania,York,133,42,2,42133,9.645555556,PM2.5
2018,Texas,Bexar,29,48,1,48029,7.998724954,PM2.5
2018,Texas,Dallas,113,48,1,48113,9.495042322,PM2.5
2018,Texas,El Paso,141,48,2,48141,8.70433657,PM2.5
2018,Texas,Harris,201,48,1,48201,9.143179619,PM2.5
2018,Texas,Harrison,203,48,2,48203,8.153233831,PM2.5
2018,Texas,Jefferson,245,48,2,48245,9.643296089,PM2.5
2018,Texas,Tarrant,439,48,1,48439,8.769153226,PM2.5
2018,Texas,Travis,453,48,1,48453,8.554565457,PM2.5
2019,California,Alameda,1,6,1,6001,7.32948058,PM2.5
2019,California,Butte,7,6,3,6007,6.970972887,PM2.5
2019,California,Contra Costa,13,6,1,6013,7.175215783,PM2.5
2019,California,Fresno,19,6,1,6019,8.502508424,PM2.5
2019,California,Humboldt,23,6,5,6023,6.787850467,PM2.5
2019,California,Imperial,25,6,3,6025,9.570178926,PM2.5
2019,California,Kern,29,6,2,6029,8.333493282,PM2.5
2019,California,Los Angeles,37,6,1,6037,10.18676291,PM2.5
2019,California,Madera,39,6,1,6039,9.612885154,PM2.5
2019,Pennsylvania,Adams,1,42,3,42001,8.635114504,PM2.5
2019,Pennsylvania,Allegheny,3,42,1,42003,10.682,PM2.5
2019,Pennsylvania,Cambria,21,42,3,42021,9.025586854,PM2.5
2019,Pennsylvania,Lackawanna,69,42,2,42069,6.276456311,PM2.5
2019,Pennsylvania,Philadelphia,101,42,1,42101,8.200228833,PM2.5
2019,Pennsylvania,York,133,42,2,42133,8.629359823,PM2.5
2019,Texas,Bexar,29,48,1,48029,9.161132922,PM2.5
2019,Texas,Dallas,113,48,1,48113,9.103209459,PM2.5
2019,Texas,El Paso,141,48,2,48141,8.460144452,PM2.5
2019,Texas,Harris,201,48,1,48201,8.952063066,PM2.5
2019,Texas,Harrison,203,48,2,48203,7.869402985,PM2.5
2019,Texas,Jefferson,245,48,2,48245,8.4,PM2.5
2019,Texas,Tarrant,439,48,1,48439,8.783619818,PM2.5
2019,Texas,Travis,453,48,1,48453,8.582195572,PM2.5
2020,California,Alameda,1,6,1,6001,10.96734599,PM2.5
2020,California,Butte,7,6,3,6007,13.47604563,PM2.5
2020,California,Contra Costa,13,6,1,6013,11.08557214,PM2.5
2020,California,Fresno,19,6,1,6019,16.79508971,PM2.5
2020,California,Humboldt,23,6,5,6023,8.754716981,PM2.5
2020,California,Imperial,25,6,3,6025,10.89292308,PM2.5
2020,California,Kern,29,6,2,6029,13.76024038,PM2.5
2020,California,Los Angeles,37,6,1,6037,13.49554769,PM2.5
2020,California,Madera,39,6,1,6039,17.0678481,PM2.5
2020,New York,Erie,29,36,1,36029,6.487407407,PM2.5
2020,New York,Monroe,55,36,1,36055,6.088013412,PM2.5
2020,Pennsylvania,Adams,1,42,3,42001,7.342909091,PM2.5
2020,Pennsylvania,Allegheny,3,42,1,42003,8.842998897,PM2.5
2020,Pennsylvania,Cambria,21,42,3,42021,8.049725275,PM2.5
2020,Pennsylvania,Lackawanna,69,42,2,42069,6.51302521,PM2.5
2020,Pennsylvania,Philadelphia,101,42,1,42101,7.497890733,PM2.5
2020,Pennsylvania,York,133,42,2,42133,8.807994186,PM2.5
2020,Texas,Bexar,29,48,1,48029,8.789470405,PM2.5
2020,Texas,Dallas,113,48,1,48113,8.319458545,PM2.5
2020,Texas,El Paso,141,48,2,48141,8.705886036,PM2.5
2020,Texas,Harris,201,48,1,48201,9.726361342,PM2.5
2020,Texas,Harrison,203,48,2,48203,7.814180929,PM2.5
2020,Texas,Jefferson,245,48,2,48245,8.126086957,PM2.5
2020,Texas,Tarrant,439,48,1,48439,8.828057554,PM2.5
2020,Texas,Travis,453,48,1,48453,8.888783943,PM2.5
2021,California,Alameda,1,6,1,6001,8.437020864,PM2.5
2021,California,Butte,7,6,3,6007,10.35145455,PM2.5
2021,California,Contra Costa,13,6,1,6013,8.368165249,PM2.5
2021,California,Fresno,19,6,1,6019,12.8301914,PM2.5
2021,California,Humboldt,23,6,5,6023,6.920869565,PM2.5
2021,California,Imperial,25,6,3,6025,8.843570348,PM2.5
2021,California,Kern,29,6,2,6029,12.3795474,PM2.5
2021,California,Los Angeles,37,6,1,6037,12.45433914,PM2.5
2021,California,Madera,39,6,1,6039,12.39887955,PM2.5
2021,Pennsylvania,Adams,1,42,3,42001,9.156916427,PM2.5
2021,Pennsylvania,Allegheny,3,42,1,42003,10.32459913,PM2.5
2021,Pennsylvania,Cambria,21,42,3,42021,9.562571429,PM2.5
2021,Pennsylvania,Lackawanna,69,42,2,42069,7.460144928,PM2.5
2021,Pennsylvania,Philadelphia,101,42,1,42101,9.404932537,PM2.5
2021,Pennsylvania,York,133,42,2,42133,10.30475504,PM2.5
2021,Texas,Bexar,29,48,1,48029,8.936915562,PM2.5
2021,Texas,Dallas,113,48,1,48113,8.34602649,PM2.5
2021,Texas,El Paso,141,48,2,48141,9.335194805,PM2.5
2021,Texas,Harris,201,48,1,48201,9.901345816,PM2.5
2021,Texas,Harrison,203,48,2,48203,9.291315789,PM2.5
2021,Texas,Jefferson,245,48,2,48245,7.429936306,PM2.5
2021,Texas,Tarrant,439,48,1,48439,9.031422351,PM2.5
2021,Texas,Travis,453,48,1,48453,8.864828897,PM2.5
2022,California,Alameda,1,6,1,6001,8.198047964,PM2.5
2022,California,Butte,7,6,3,6007,6.188046387,PM2.5
2022,California,Contra Costa,13,6,1,6013,8.250305998,PM2.5
2022,California,Fresno,19,6,1,6019,10.18866353,PM2.5
2022,California,Humboldt,23,6,5,6023,6.757758621,PM2.5
2022,California,Imperial,25,6,3,6025,9.552307692,PM2.5
2022,California,Kern,29,6,2,6029,9.882254608,PM2.5
2022,California,Los Angeles,37,6,1,6037,10.97163708,PM2.5
2022,California,Madera,39,6,1,6039,10.38638889,PM2.5
2022,Pennsylvania,Adams,1,42,3,42001,8.005479452,PM2.5
2022,Pennsylvania,Allegheny,3,42,1,42003,8.973452381,PM2.5
2022,Pennsylvania,Cambria,21,42,3,42021,9.509331476,PM2.5
2022,Pennsylvania,Lackawanna,69,42,2,42069,7.199285714,PM2.5
2022,Pennsylvania,Philadelphia,101,42,1,42101,8.222641129,PM2.5
2022,Pennsylvania,York,133,42,2,42133,8.441126761,PM2.5
2022,Texas,Bexar,29,48,1,48029,8.972931276,PM2.5
2022,Texas,Dallas,113,48,1,48113,9.133928571,PM2.5
2022,Texas,El Paso,141,48,2,48141,9.373901809,PM2.5
2022,Texas,Harris,201,48,1,48201,9.970729246,PM2.5
2022,Texas,Harrison,203,48,2,48203,9.94775641,PM2.5
2022,Texas,Jefferson,245,48,2,48245,8.236007641,PM2.5
2022,Texas,Tarrant,439,48,1,48439,8.802287348,PM2.5
2022,Texas,Travis,453,48,1,48453,8.676617375,PM2.5
2023,California,Alameda,1,6,1,6001,7.006504065,PM2.5
2023,California,Butte,7,6,3,6007,7.604283217,PM2.5
2023,California,Contra Costa,13,6,1,6013,7.779856973,PM2.5
2023,California,Fresno,19,6,1,6019,8.944411872,PM2.5
2023,California,Humboldt,23,6,5,6023,11.66902985,PM2.5
2023,California,Imperial,25,6,3,6025,8.818009479,PM2.5
2023,California,Kern,29,6,2,6029,8.689150943,PM2.5
2023,California,Los Angeles,37,6,1,6037,10.07886481,PM2.5
2023,California,Madera,39,6,1,6039,9.941274238,PM2.5
2023,Pennsylvania,Adams,1,42,3,42001,11.42545788,PM2.5
2023,Pennsylvania,Allegheny,3,42,1,42003,10.87997036,PM2.5
2023,Pennsylvania,Cambria,21,42,3,42021,9.494350282,PM2.5
2023,Pennsylvania,Lackawanna,69,42,2,42069,10.184375,PM2.5
2023,Pennsylvania,Philadelphia,101,42,1,42101,12.19772375,PM2.5
2023,Pennsylvania,York,133,42,2,42133,11.4359841,PM2.5
2023,Texas,Bexar,29,48,1,48029,8.9983391,PM2.5
2023,Texas,Dallas,113,48,1,48113,10.1285297,PM2.5
2023,Texas,El Paso,141,48,2,48141,10.25153322,PM2.5
2023,Texas,Harris,201,48,1,48201,10.81131318,PM2.5
2023,Texas,Harrison,203,48,2,48203,8.71388102,PM2.5
2023,Texas,Jefferson,245,48,2,48245,9.752111324,PM2.5
2023,Texas,Tarrant,439,48,1,48439,10.2283284,PM2.5
2023,Texas,Travis,453,48,1,48453,10.04275093,PM2.5
